id|inflo_chnl_id|reg_dts|질문|답변|액션|버튼|intent_id
21320853|008e4cf8-aa8a-4ef2-a169-8766978f45b2|2026-07-01 17:14:49.806000+09:00|디지털그랩 구매내역 확인방법|디지털그랩 구매 내역은 디지털그랩 메뉴 첫 화면 상단우측 영수증그림 영역을 눌러 주문내역 확인이 가능합니다.|||[]
21320899|008e4cf8-aa8a-4ef2-a169-8766978f45b2|2026-07-01 17:15:38.870000+09:00|디지털그랩 이용방법|"이마트앱 로그인이 가능한 사용자라면 누구나 디지털그랩을 이용하실 수 있습니다.
이마트앱 메인화면 중앙 디지털그랩 선택 후 상품 탐색 및 구매결정을 진행하신 뒤 픽업기간, 픽업 점포 선정 후 결제 진행하시면 됩니다.
상품마다 픽업 가능한 점포가 다를 수 있습니다. 만약 픽업 점포목록에서 원하는 점포명이 보이지 않는다면 픽업이 불가한 점포이니,
가까운 다른 점포를 이용하시기 바랍니다."|||[]
21323367|0094b95f-6284-4225-a1f5-49fe56e51caf|2026-07-01 18:17:49.153000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21323371|0094b95f-6284-4225-a1f5-49fe56e51caf|2026-07-01 18:17:55.907000+09:00|상품검색|질문을 선택해 주세요.|dialogFlowButton|일반상품,신선식품,가전상품|[]
21323377|0094b95f-6284-4225-a1f5-49fe56e51caf|2026-07-01 18:18:01.149000+09:00|신선식품|신선 상품은 채팅상담을 통해 안내해 드리겠습니다|message|채팅상담|[]
21317477|00ade00d-d331-4479-b51b-75b686c85a95|2026-07-01 15:58:39.205000+09:00|매장안내|질문을 선택해 주세요.|dialogFlowButton|점포정보,편의시설,기타안내|[]
21317481|00ade00d-d331-4479-b51b-75b686c85a95|2026-07-01 15:58:45.361000+09:00|기타안내|질문을 선택해 주세요.|dialogFlowButton|장바구니 안내,지역 쓰레기봉투 및 음식물 판매,공병수거,애견동반|[]
21317505|00ade00d-d331-4479-b51b-75b686c85a95|2026-07-01 15:59:07.123000+09:00|와플파는매장 번호좀 부탁드립니다|"점포별 입점 매장 정보는 이마트앱 또는 홈페이지에서 확인하실 수 있습니다.
하단 점포안내 버튼을 누르시면 해당 점포의 상세 화면으로 이동합니다.
 
또는, 이렇게 검색해보세요:
""000 전화번호 알려줘"""|webLink|점포안내|[31]
21317539|00ade00d-d331-4479-b51b-75b686c85a95|2026-07-01 15:59:54.402000+09:00|와플파는곳 전화번호 알려줘|"점포별 입점 매장 정보는 이마트앱 또는 홈페이지에서 확인하실 수 있습니다.
하단 점포안내 버튼을 누르시면 해당 점포의 상세 화면으로 이동합니다.
 
또는, 이렇게 검색해보세요:
""000 전화번호 알려줘"""|webLink|점포안내|[31]
21319511|00b5ae1c-27d3-4035-bada-e993f1e009d8|2026-07-01 16:41:07.343000+09:00|스위치2 판매하고 있나요?|가전 상품문의는 점포안내를 확인 후 각 점포 일렉트로마트 또는 가전 판매데스크로 문의해 주세요.|webLink|점포안내|[5]
21313686|00ebdd0a-de12-419f-b193-0661f8b01ea3|2026-07-01 14:11:51.235000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21313688|00ebdd0a-de12-419f-b193-0661f8b01ea3|2026-07-01 14:11:52.712000+09:00|와인그랩|질문 유형을 선택해 주세요.|dialogFlowButton|와인그랩 상품문의,와인그랩 결제문의,와인그랩 교환/환불문의,와인그랩 수령문의|[]
21313690|00ebdd0a-de12-419f-b193-0661f8b01ea3|2026-07-01 14:11:53.638000+09:00|와인그랩 상품문의|질문 유형을 선택해 주세요.|dialogFlowButton|와인그랩 이용방법,와인그랩 구매내역 확인방법|[]
21313692|00ebdd0a-de12-419f-b193-0661f8b01ea3|2026-07-01 14:11:54.674000+09:00|와인그랩 이용방법|"이마트앱 로그인이 가능한 사용자 중, 19세 이상 성인이라면 누구나 와인그랩을 이용하실 수 있습니다. 
이마트앱 메인화면 중앙 와인그랩 선택 후 상품 탐색 및 구매결정을 진행하신 뒤 픽업기간, 픽업점포 선정 후 결제 진행하시면 됩니다.
상품마다 픽업 가능한 점포가 다를 수 있습니다. 만약 픽업 점포목록에서 원하는 점포명이 보이지 않는다면 픽업이 불가한 점포이니, 가까운 다른 점포를
이용하시기 바랍니다."|||[]
21310610|013ae5d2-c551-4ae7-b6fd-e89c3635cd56|2026-07-01 12:54:36.799000+09:00|6월 30날 구입 청년이 담은 배 3kg 박스 17890원 4개 중 한개만 멀쩡하고 한개는 꼭지부분이 썩고 한개는 멍든부분 등 사진을 찍었습니다. 연락주세요|"고객님 불편을 드려 죄송합니다.
번거로우시겠지만 구매 점포 고객만족센터로 불량상품, 결제 영수증, 결제 수단을 가지고 방문 접수해 주시면 담당자가 확인 후 처리 도와드리겠습니다"|webLink|빠른 환불|[12]
21310674|013ae5d2-c551-4ae7-b6fd-e89c3635cd56|2026-07-01 12:57:17.901000+09:00|포항이 아니고 청하입니다. 사진 보낼 번호 주세요. 지금 갈 수 없는 입장이거든요.|원하는 답변을 선택해 주세요.|dialogFlowButton|교환/환불 안내,이마트 매장 및 SSG.COM 행사 운영 관련 ,이마트 영업시간|[42, 143, 29]
21310696|013ae5d2-c551-4ae7-b6fd-e89c3635cd56|2026-07-01 12:57:46.514000+09:00|전화 좀 주세요.|채팅 상담원을 연결하면 실시간으로 궁금한 사항을 질문할 수 있습니다|message|채팅상담|[137]
21310726|013ae5d2-c551-4ae7-b6fd-e89c3635cd56|2026-07-01 12:59:16.529000+09:00|1시 이후 전화 주세요.|채팅 상담원을 연결하면 실시간으로 궁금한 사항을 질문할 수 있습니다|message|채팅상담|[137]
21310820|013ae5d2-c551-4ae7-b6fd-e89c3635cd56|2026-07-01 13:02:05.292000+09:00|쓸려고 준비한건데 제가 서울로 가야돼서 준비하느라 채팅할 시간이 없습니다. 전화좀 주세요|채팅 상담원을 연결하면 실시간으로 궁금한 사항을 질문할 수 있습니다|message|채팅상담|[137]
21326623|014e0338-39c0-4e9b-a9df-a597f434ef9b|2026-07-01 19:54:12.155000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21326629|014e0338-39c0-4e9b-a9df-a597f434ef9b|2026-07-01 19:54:17.616000+09:00|기타문의|질문을 선택해 주세요.|dialogFlowButton|A/S,상품예약,불량상품|[]
21326633|014e0338-39c0-4e9b-a9df-a597f434ef9b|2026-07-01 19:54:25.777000+09:00|A/S|"구매하신 제품의 A/S는 상품의 제조사에서 확인 가능합니다.
※이마트 PL제품에 한해 이마트에서 A/S 상담이 가능합니다.
※일부 병행수입 제품은 A/S 불가할 수 있습니다."|SERVICE_CENTER|[서비스 센터 안내]|[]
21304822|015625fb-6555-4f5e-b344-2bb5747e23cb|2026-07-01 10:22:58.802000+09:00|상품|질문 유형을 선택해 주세요.|dialogFlowButton|상품검색,신선식품,입고문의,대량구매,기타문의,상품예약|[]
21304832|015625fb-6555-4f5e-b344-2bb5747e23cb|2026-07-01 10:23:04.552000+09:00|상품검색|점포의 실재고 확인은 점포연결을 통해 문의바랍니다.|phone|점포연결|[]
21304854|015625fb-6555-4f5e-b344-2bb5747e23cb|2026-07-01 10:24:17.737000+09:00|계산|질문 유형을 선택해 주세요.|dialogFlowButton|결제수단,결제변경,계산착오,무방문 결제|[]
21304856|015625fb-6555-4f5e-b344-2bb5747e23cb|2026-07-01 10:24:20.922000+09:00|계산착오|불편을 드려 죄송합니다 고객님, 점포연결을 통해 영수증 확인 후 안내 도와드리겠습니다.|phone|전화연결|[]
21306162|01994592-7cc7-4fda-8f5b-0029bea25b6a|2026-07-01 10:57:25.495000+09:00|1층에 아메리칸 투어리스터 연락처 알수있을까?|"문의해주신 시설물은 아래와 같이 운영되고 있습니다.  [아메리칸투어리스트(여행용가방) ]
- 위치: 2F
- 운영시간: 10:00~22:00
 점포별 입점 매장 정보는 이마트앱 또는 홈페이지에서 확인하실 수 있습니다.
하단 점포안내 버튼을 누르시면 해당 점포의 상세 화면으로 이동합니다.
 
또는, 이렇게 검색해보세요:
""000 전화번호 알려줘"""|webLink|점포안내|[31]
21312378|019a163a-e00e-4921-b5c6-49ad2b2cb34a|2026-07-01 13:36:06.340000+09:00|서귀포이마트고객센터|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21312384|019a163a-e00e-4921-b5c6-49ad2b2cb34a|2026-07-01 13:36:17.546000+09:00|전화번호|"점포별 입점 매장 정보는 이마트앱 또는 홈페이지에서 확인하실 수 있습니다.
하단 점포안내 버튼을 누르시면 해당 점포의 상세 화면으로 이동합니다.
 
또는, 이렇게 검색해보세요:
""000 전화번호 알려줘"""|webLink|점포안내|[31]
21312410|019a163a-e00e-4921-b5c6-49ad2b2cb34a|2026-07-01 13:37:01.180000+09:00|서귀포이마트고객센터전화번호알려줘|원하는 답변을 선택해 주세요.|dialogFlowButton|본사 고객센터 연락처,신세계포인트 사용방법 및 적립률,SSG.COM 배송상품 이마트에서 환불 가능 여부|[134, 93, 46]
21312422|019a163a-e00e-4921-b5c6-49ad2b2cb34a|2026-07-01 13:37:14.582000+09:00|본사 고객센터 연락처|본사 고객센터 연락처는 02-380-5678입니다|phone|전화연결|[]
21319371|01a7c3b5-5bcf-4e4f-8dda-445da2747d08|2026-07-01 16:37:44.602000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21319373|01a7c3b5-5bcf-4e4f-8dda-445da2747d08|2026-07-01 16:37:47.877000+09:00|상품검색|질문을 선택해 주세요.|dialogFlowButton|일반상품,신선식품,가전상품|[]
21319375|01a7c3b5-5bcf-4e4f-8dda-445da2747d08|2026-07-01 16:37:52.880000+09:00|일반상품|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[]
21316963|01bbf816-d752-4c06-bbef-e1b18ca37b86|2026-07-01 15:45:13.117000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21316965|01bbf816-d752-4c06-bbef-e1b18ca37b86|2026-07-01 15:45:16.308000+09:00|상품검색|질문을 선택해 주세요.|dialogFlowButton|일반상품,신선식품,가전상품|[]
21316967|01bbf816-d752-4c06-bbef-e1b18ca37b86|2026-07-01 15:45:21.577000+09:00|일반상품|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[]
21314210|01bc2c06-376c-4a5e-a213-764d0fcc4f90|2026-07-01 14:27:46.078000+09:00|상품권|질문을 선택해 주세요.|dialogFlowButton|상품권 구매,상품권 교환,상품권 안내,모바일상품권|[]
21314214|01bc2c06-376c-4a5e-a213-764d0fcc4f90|2026-07-01 14:27:48.614000+09:00|상품권 구매|질문을 선택해 주세요.|dialogFlowButton|구매방법,법인 구매,수표구매|[]
21314220|01bc2c06-376c-4a5e-a213-764d0fcc4f90|2026-07-01 14:27:51.113000+09:00|구매방법|"상품권 키오스크에서 신세계 상품권만 1회 500만원까지 액면가로 구매 가능하며 현금, 현금 IC 칩 카드, 법인카드로만 구매 가능합니다. 또한, SSG.COM을 통해 구매 후 이마트 매장 키오스크에서 전환도 가능합니다.
*단 개인 신용카드 및 계좌이체 결제는 불가."|webLink|상품권 구매|[]
21307692|01ce9fbb-d9b2-45a2-b2a3-c18b2d9e0fc3|2026-07-01 11:37:04.238000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21307694|01ce9fbb-d9b2-45a2-b2a3-c18b2d9e0fc3|2026-07-01 11:37:06.907000+09:00|상품검색|질문을 선택해 주세요.|dialogFlowButton|일반상품,신선식품,가전상품|[]
21307696|01ce9fbb-d9b2-45a2-b2a3-c18b2d9e0fc3|2026-07-01 11:37:10.161000+09:00|일반상품|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[]
21304214|01cf8c37-698b-429b-a28a-7935d77a390b|2026-07-01 10:08:54.699000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21304216|01cf8c37-698b-429b-a28a-7935d77a390b|2026-07-01 10:08:58.253000+09:00|상품검색|질문을 선택해 주세요.|dialogFlowButton|일반상품,신선식품,가전상품|[]
21304220|01cf8c37-698b-429b-a28a-7935d77a390b|2026-07-01 10:09:02.393000+09:00|일반상품|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[]
21311086|01db1037-87b9-452b-8651-ca945970b638|2026-07-01 13:08:54.527000+09:00|매장안내|질문을 선택해 주세요.|dialogFlowButton|점포정보,편의시설,기타안내|[]
21319107|01f88131-9af0-4f48-88cb-ddb1d3c31747|2026-07-01 16:32:47.487000+09:00|지갑있나요|원하는 답변을 선택해 주세요.|dialogFlowButton|분실물 문의,층별안내,유모차/휠체어 대여 안내|[135, 30, 33]
21319149|01f88131-9af0-4f48-88cb-ddb1d3c31747|2026-07-01 16:33:51.519000+09:00|남자지갑얼마인가요|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21317961|021ecb3e-af7b-4097-a598-982a05eeb406|2026-07-01 16:08:39.744000+09:00|행사|질문을 선택해 주세요.|dialogFlowButton|전단보기,행사안내,행사 적용방법|[]
21317967|021ecb3e-af7b-4097-a598-982a05eeb406|2026-07-01 16:08:44.214000+09:00|행사안내|질문을 선택해 주세요.|dialogFlowButton|행사기간안내,임대매장 및 평대행사|[]
21317970|021ecb3e-af7b-4097-a598-982a05eeb406|2026-07-01 16:08:46.271000+09:00|임대매장 및 평대행사|임대매장 및 평대 행사 진행 여부는 전단에서 확인이 어려울 수 있습니다. 행사 일정 또는 행사 진행 여부 확인이 필요하시다면, 채팅 상담원이 안내해 드리겠습니다|||[]
21317983|021ecb3e-af7b-4097-a598-982a05eeb406|2026-07-01 16:09:01.463000+09:00|노트북 구매했어요|가전 상품문의는 점포안내를 확인 후 각 점포 가전 판매데스크로 문의해 주세요.|webLink|점포안내|[1005]
21324595|021f4399-9eb3-4efb-bf71-24a661dbd8df|2026-07-01 18:48:03.123000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21324599|021f4399-9eb3-4efb-bf71-24a661dbd8df|2026-07-01 18:48:08.159000+09:00|행사|질문을 선택해 주세요.|dialogFlowButton|전단보기,행사안내,행사 적용방법,맘키즈클럽|[]
21319577|022a5cea-b03b-4c91-ad00-6658dbe31936|2026-07-01 16:42:20.392000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21319585|022a5cea-b03b-4c91-ad00-6658dbe31936|2026-07-01 16:42:36.329000+09:00|기타문의|질문을 선택해 주세요.|dialogFlowButton|A/S,상품예약,불량상품|[]
21319587|022a5cea-b03b-4c91-ad00-6658dbe31936|2026-07-01 16:42:39.433000+09:00|불량상품|"고객님 불편을 드려 죄송합니다.
번거로우시겠지만 구매 점포 고객만족센터로 불량상품, 결제 영수증, 결제 수단을 가지고 방문 접수해 주시면 담당자가 확인 후 처리 도와드리겠습니다"|webLink|빠른 환불|[]
21322957|0238245a-8ac9-4ae9-b95d-88b869523ee2|2026-07-01 18:05:58.336000+09:00|카드분실|매장 내에 분실, 습득물 문의는 점포연결을 통해 문의 하시기 바랍니다|||[2135]
21303826|02393f63-74fa-4b40-a2dd-ffd56fbcf7f7|2026-07-01 10:02:00.478000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21303840|02393f63-74fa-4b40-a2dd-ffd56fbcf7f7|2026-07-01 10:02:06.245000+09:00|상품검색|질문을 선택해 주세요.|dialogFlowButton|일반상품,신선식품,가전상품|[]
21303848|02393f63-74fa-4b40-a2dd-ffd56fbcf7f7|2026-07-01 10:02:14.646000+09:00|일반상품|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[]
21322999|024cd476-04dc-4df9-a8ad-d1f033c8c30d|2026-07-01 18:07:36.565000+09:00|모델: 알피쿨 X30 디얼스 블랙에디션 (30L)|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21323007|024cd476-04dc-4df9-a8ad-d1f033c8c30d|2026-07-01 18:07:55.314000+09:00|특가로 판매한다고 들었는데|"1+1, 2+1, 2개 이상 구매 시 할인 등 복수 구매 조건의 행사는 동일 영수증 기준으로 합산 결제 시 행사 적용이 가능합니다.
(계산대에서 모든 상품을 스캔해 주셔야 할인이 적용됩니다)"|||[21]
21323031|024cd476-04dc-4df9-a8ad-d1f033c8c30d|2026-07-01 18:08:11.514000+09:00|판매하는지 문의합니다|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21323059|024cd476-04dc-4df9-a8ad-d1f033c8c30d|2026-07-01 18:08:59.223000+09:00|상품검색에 검색안되면 판매되는 상품이 아닌건가요??|"아래 버튼을 눌러 상품 가격 및 재고를 검색하시기 바랍니다
※영업 상황에 따라 가격 및 재고 수량이 차이가 날 수 있습니다"|EMART_PRODUCT_SEARCH|상품검색|[3]
21321869|02517b3b-a74d-4155-9b6e-14eb7ee84432|2026-07-01 17:38:04.623000+09:00|교환/환불|질문을 선택해 주세요.|dialogFlowButton|교환/환불안내,무실물/무방문 환불,상품권 환불,결제취소 입금,쓱배송 점포 환불,영수증|[]
21321871|02517b3b-a74d-4155-9b6e-14eb7ee84432|2026-07-01 17:38:11.499000+09:00|교환/환불안내|"교환/환불은 상품을 개봉하지 않은 정상상품에 한 해 영수증 및 결제수단 지참 후 구매하신 매장에 방문하시기 바랍니다
오더픽, 와인그랩,배달상품 등은 제외됩니다 (이마트앱전용상품)
구입 후 30일 이내이며, 신선식품 및 냉동/냉장 식품은 7일 이내입니다.
구매 시 사용한 결제 수단으로 환불되며, 영수증을 분실하신 경우 결제하신 신용카드 혹은 포인트 적립 구매 내역 확인 후 교환 및 환불 가능합니다.
* 상품권 환불의 경우 영수증 필 참 후 30일 이내 방문하시면 가능합니다
* 교환 가능한 정상 제품이 없는 경우 환불만 가능합니다.
  (배송 전용 상품은 매장 교환 불가)

* 대기없이 간편하게 환불을 접수할 수 있는 빠른환불 서비스를 운영 중입니다. 아래 버튼을 클릭하여 지금 바로 접수해 보세요!"|webLink|빠른 환불|[]
21307979|02723c5e-541d-46c0-86d6-ae8584b9b071|2026-07-01 11:45:46.199000+09:00|계산|질문을 선택해 주세요.|dialogFlowButton|결제,기타|[]
21307982|02723c5e-541d-46c0-86d6-ae8584b9b071|2026-07-01 11:45:49.162000+09:00|기타|질문을 선택해 주세요.|dialogFlowButton|현금영수증,세금계산서,텍스리펀|[]
21307998|02723c5e-541d-46c0-86d6-ae8584b9b071|2026-07-01 11:45:56.744000+09:00|상품|질문을 선택해 주세요.|dialogFlowButton|상품검색,입고문의,대량구매,기타문의|[]
21308006|02723c5e-541d-46c0-86d6-ae8584b9b071|2026-07-01 11:45:59.899000+09:00|기타문의|질문을 선택해 주세요.|dialogFlowButton|A/S,상품예약,불량상품|[]
21308018|02723c5e-541d-46c0-86d6-ae8584b9b071|2026-07-01 11:46:12.336000+09:00|상품예약|상품 예약이나 키핑은 불가능합니다. 이용에 불편을 드려 죄송합니다|||[]
21308020|02723c5e-541d-46c0-86d6-ae8584b9b071|2026-07-01 11:46:16.669000+09:00|A/S|"A/S 관련 문의는 제품에 표기되어 있는 A/S 업체로 접수해 주시길 바랍니다.
병행수입상품은 A/S가 되지 않는 점 양해 부탁드립니다"|SERVICE_CENTER|[서비스 센터 안내]|[]
21324869|0297889d-0642-46bc-98b9-92ff6cf8e655|2026-07-01 18:57:05.655000+09:00|교환/환불|질문을 선택해 주세요.|dialogFlowButton|교환/환불안내,무실물/무방문 환불,상품권 환불,결제취소 입금,쓱배송 점포 환불,영수증|[]
21324873|0297889d-0642-46bc-98b9-92ff6cf8e655|2026-07-01 18:57:10.821000+09:00|교환/환불안내|"교환/환불은 상품을 개봉하지 않은 정상상품에 한 해 영수증 및 결제수단 지참 후 구매하신 매장에 방문하시기 바랍니다
오더픽, 와인그랩,배달상품 등은 제외됩니다 (이마트앱전용상품)
구입 후 30일 이내이며, 신선식품 및 냉동/냉장 식품은 7일 이내입니다.
구매 시 사용한 결제 수단으로 환불되며, 영수증을 분실하신 경우 결제하신 신용카드 혹은 포인트 적립 구매 내역 확인 후 교환 및 환불 가능합니다.
* 상품권 환불의 경우 영수증 필 참 후 30일 이내 방문하시면 가능합니다
* 교환 가능한 정상 제품이 없는 경우 환불만 가능합니다.
  (배송 전용 상품은 매장 교환 불가)

* 대기없이 간편하게 환불을 접수할 수 있는 빠른환불 서비스를 운영 중입니다. 아래 버튼을 클릭하여 지금 바로 접수해 보세요!"|webLink|빠른 환불|[]
21324879|0297889d-0642-46bc-98b9-92ff6cf8e655|2026-07-01 18:57:24.798000+09:00|빠른환불불가상품 환불|원하는 답변을 선택해 주세요.|dialogFlowButton|SSG.COM 배송상품 이마트에서 환불 가능 여부,빠른환불 접수 방법 및 안내,교환/환불 안내|[46, 136, 42]
